CENSUS REGION,DIAG. GROUP,AGE  ,SEX,RECIPIENTS
Midwest      ,AUTISTIC   , <12 ,F  ,      2328
Midwest      ,AUTISTIC   , <12 ,M  ,     10433
Midwest      ,AUTISTIC   ,13-17,F  ,       872
Midwest      ,AUTISTIC   ,13-17,M  ,      3923
Midwest      ,AUTISTIC   ,18-21,F  ,      1164
Midwest      ,AUTISTIC   ,18-21,M  ,      5282
Midwest      ,AUTISTIC   ,22-25,F  ,       758
Midwest      ,AUTISTIC   ,22-25,M  ,      3201
Midwest      ,AUTISTIC   ,26-29,F  ,       381
Midwest      ,AUTISTIC   ,26-29,M  ,      1310
Midwest      ,AUTISTIC   ,30-39,F  ,       218
Midwest      ,AUTISTIC   ,30-39,M  ,       665
Midwest      ,AUTISTIC   ,40-49,F  ,        57
Midwest      ,AUTISTIC   ,40-49,M  ,       178
Midwest      ,AUTISTIC   ,50-59,F  ,        34
Midwest      ,AUTISTIC   ,50-59,M  ,        76
Midwest      ,AUTISTIC   ,60-64,F  ,        10
Midwest      ,AUTISTIC   ,60-64,M  ,        15
Midwest      ,BLOOD      , <12 ,F  ,       740
Midwest      ,BLOOD      , <12 ,M  ,       913
Midwest      ,BLOOD      ,13-17,F  ,       328
Midwest      ,BLOOD      ,13-17,M  ,       420
Midwest      ,BLOOD      ,18-21,F  ,       303
Midwest      ,BLOOD      ,18-21,M  ,       354
Midwest      ,BLOOD      ,22-25,F  ,       248
Midwest      ,BLOOD      ,22-25,M  ,       264
Midwest      ,BLOOD      ,26-29,F  ,       200
Midwest      ,BLOOD      ,26-29,M  ,       186
Midwest      ,BLOOD      ,30-39,F  ,       340
Midwest      ,BLOOD      ,30-39,M  ,       287
Midwest      ,BLOOD      ,40-49,F  ,       364
Midwest      ,BLOOD      ,40-49,M  ,       218
Midwest      ,BLOOD      ,50-59,F  ,       287
Midwest      ,BLOOD      ,50-59,M  ,       138
Midwest      ,BLOOD      ,60-64,F  ,        86
Midwest      ,BLOOD      ,60-64,M  ,        31
Midwest      ,CHILDHOOD  , <12 ,F  ,      4039
Midwest      ,CHILDHOOD  , <12 ,M  ,     15726
Midwest      ,CHILDHOOD  ,13-17,F  ,      4135
Midwest      ,CHILDHOOD  ,13-17,M  ,     15911
Midwest      ,CHILDHOOD  ,18-21,F  ,      1348
Midwest      ,CHILDHOOD  ,18-21,M  ,      4780
Midwest      ,CHILDHOOD  ,22-25,F  ,       386
Midwest      ,CHILDHOOD  ,22-25,M  ,      1057
Midwest      ,CHILDHOOD  ,26-29,F  ,       246
Midwest      ,CHILDHOOD  ,26-29,M  ,       676
Midwest      ,CHILDHOOD  ,30-39,F  ,       155
Midwest      ,CHILDHOOD  ,30-39,M  ,       347
Midwest      ,CHILDHOOD  ,40-49,F  ,        77
Midwest      ,CHILDHOOD  ,40-49,M  ,        90
Midwest      ,CHILDHOOD  ,50-59,F  ,        42
Midwest      ,CHILDHOOD  ,50-59,M  ,        44
Midwest      ,CHILDHOOD  ,60-64,F  ,        10
Midwest      ,CHILDHOOD  ,60-64,M  ,         7
Midwest      ,CIRCUL     , <12 ,F  ,       435
Midwest      ,CIRCUL     , <12 ,M  ,       465
Midwest      ,CIRCUL     ,13-17,F  ,       108
Midwest      ,CIRCUL     ,13-17,M  ,       125
Midwest      ,CIRCUL     ,18-21,F  ,       147
Midwest      ,CIRCUL     ,18-21,M  ,       177
Midwest      ,CIRCUL     ,22-25,F  ,       189
Midwest      ,CIRCUL     ,22-25,M  ,       219
Midwest      ,CIRCUL     ,26-29,F  ,       230
Midwest      ,CIRCUL     ,26-29,M  ,       226
Midwest      ,CIRCUL     ,30-39,F  ,       911
Midwest      ,CIRCUL     ,30-39,M  ,       950
Midwest      ,CIRCUL     ,40-49,F  ,      2979
Midwest      ,CIRCUL     ,40-49,M  ,      2833
